product_id,avg_sentiment,sentiment,sentiment_score
B009UORDX4,0.9916,Positive,0.9916
B01D5H8LDM,0.9916,Positive,0.9916
B08Y7MXFMK,0.9916,Positive,0.9916
B09NS5TKPN,0.9916,Positive,0.9916
B0BHVPTM2C,0.9916,Positive,0.9916
B09B125CFJ,0.9915,Positive,0.9915
B09XHXXCFH,0.9915,Positive,0.9915
B09YHLPQYT,0.9914,Positive,0.9914
B07D2NMTTV,0.9914,Positive,0.9914
B0B5RP43VN,0.9913,Positive,0.9913
B07JPJJZ2H,0.9913,Positive,0.9913
B07JNVF678,0.9913,Positive,0.9913
B0974H97TJ,0.9912,Positive,0.9912
B07WGPBXY9,0.9912,Positive,0.9912
B08NCKT9FG,0.9912,Positive,0.9912
B07NPBG1B4,0.9912,Positive,0.9912
B01M5B0TPW,0.9912,Positive,0.9912
B07L1N3TJX,0.9912,Positive,0.9912
B01LONQBDG,0.9911,Positive,0.9911
B07WKB69RS,0.9911,Positive,0.9911
B09CTRPSJR,0.991,Positive,0.991
B09Z7YGV3R,0.991,Positive,0.991
B06XFTHCNY,0.9909,Positive,0.9909
B09W5XR9RT,0.9909,Positive,0.9909
B00A0VCJPI,0.9908,Positive,0.9908
B099SD8PRP,0.9907,Positive,0.9907
B07JZSG42Y,0.9907,Positive,0.9907
B00LZLPYHW,0.9906,Positive,0.9906
B01J8S6X2I,0.9906,Positive,0.9906
B0926V9CTV,0.9906,Positive,0.9906
B09MZ6WZ6V,0.9904,Positive,0.9904
B09C635BMM,0.9904,Positive,0.9904
B095K14P86,0.9904,Positive,0.9904
B09MQSCJQ1,0.9903,Positive,0.9903
B07P1BR7L8,0.9902,Positive,0.9902
B09MTLG4TP,0.9901,Positive,0.9901
B0883LQJ6B,0.9901,Positive,0.9901
B00SH18114,0.9901,Positive,0.9901
B00NW4UWN6,0.9901,Positive,0.9901
B0B9BD2YL4,0.99,Positive,0.99
B00LM4X3XE,0.9899,Positive,0.9899
B08GM5S4CQ,0.9898,Positive,0.9898
B085HY1DGR,0.9898,Positive,0.9898
B08CTQP51L,0.9898,Positive,0.9898
B08TTRVWKY,0.9897,Positive,0.9897
B0085W2MUQ,0.9897,Positive,0.9897
B00DJ5N9VK,0.9897,Positive,0.9897
B08G8H8DPL,0.9897,Positive,0.9897
B0912WJ87V,0.9896,Positive,0.9896
B0B5ZF3NRK,0.9896,Positive,0.9896
B083RC4WFJ,0.9895,Positive,0.9895
B09RMQYHLH,0.9895,Positive,0.9895
B077Z65HSD,0.9888666666666667,Positive,0.9894
B09C6HWG18,0.9894,Positive,0.9894
B071113J7M,0.9893,Positive,0.9893
B003B00484,0.9892,Positive,0.9892
B09LQH3SD9,0.9892,Positive,0.9892
B08HVJCW95,0.9891,Positive,0.9891
B08HVL8QN3,0.9891,Positive,0.9891
B08HV83HL3,0.9891,Positive,0.9891
B0B31BYXQQ,0.9891,Positive,0.9891
B0B9LDCX89,0.989,Positive,0.989
B08WKCTFF3,0.989,Positive,0.989
B0BG62HMDJ,0.989,Positive,0.989
B078HRR1XV,0.9889,Positive,0.9889
B09T3KB6JZ,0.9889,Positive,0.9889
B0B16KD737,0.9889,Positive,0.9889
B00LM4W1N2,0.9888,Positive,0.9888
B078JT7LTD,0.9888,Positive,0.9888
B0846D5CBP,0.9888,Positive,0.9888
B09LD3116F,0.9888,Positive,0.9888
B07LFWP97N,0.9887,Positive,0.9887
B07BRKK9JQ,0.9887,Positive,0.9887
B071SDRGWL,0.9886,Positive,0.9886
B0974G5Q2Y,0.9886,Positive,0.9886
B00V9NHDI4,0.9886,Positive,0.9886
B09NFSHCWN,0.9886,Positive,0.9886
B08G28Z33M,0.9886,Positive,0.9886
B09NNHFSSF,0.9885,Positive,0.9885
B07W6VWZ8C,0.9885,Positive,0.9885
B0B2DJ5RVQ,0.9884,Positive,0.9884
B07GWTWFS2,0.9883,Positive,0.9883
B0BK1K598K,0.9883,Positive,0.9883
B07VZYMQNZ,0.9882,Positive,0.9882
B00C3GBCIS,0.9882,Positive,0.9882
B08CF3D7QR,0.9880999999999999,Positive,0.9881
B08MC57J31,0.9881,Positive,0.9881
B08MCD9JFY,0.9881,Positive,0.9881
B09G2VTHQM,0.988,Positive,0.988
B083342NKJ,0.9879000000000001,Positive,0.9879
B08QSC1XY8,0.9879,Positive,0.9879
B07YFWVRCM,0.9879,Positive,0.9879
B08QSDKFGQ,0.9879,Positive,0.9879
B08JV91JTK,0.9879,Positive,0.9879
B0BPBG712X,0.9878,Positive,0.9878
B01GGKYKQM,0.9878,Positive,0.9878
B0BMM7R92G,0.9878,Positive,0.9878
B07GMFY9QM,0.9878,Positive,0.9878
B085DTN6R2,0.9876999999999999,Positive,0.9877
B09R1YFL6S,0.9877,Positive,0.9877
B07RY2X9MP,0.9877,Positive,0.9877
B07Q4QV1DL,0.9875,Positive,0.9875
B07W4HTS8Q,0.9875,Positive,0.9875
B088ZFJY82,0.9875,Positive,0.9875
B08GSQXLJ2,0.9875,Positive,0.9875
B0B7B9V9QP,0.9874,Positive,0.9874
B08JKPVDKL,0.9874,Positive,0.9874
B07GXHC691,0.9874,Positive,0.9874
B09GB5B4BK,0.9874,Positive,0.9874
B09NNZ1GF7,0.9873,Positive,0.9873
B07YWS9SP9,0.9873,Positive,0.9873
B09MQ9PDHR,0.9872,Positive,0.9872
B08CZHGHKH,0.9872,Positive,0.9872
B086394NY5,0.9872,Positive,0.9872
B0B298D54H,0.9872,Positive,0.9872
B08SJVD8QD,0.9871,Positive,0.9871
B07G147SZD,0.9868,Positive,0.9868
B08X77LM8C,0.9868,Positive,0.9868
B07KRCW6LZ,0.9867,Positive,0.9867
B09V12K8NT,0.9738,Positive,0.9867
B09Y5FZK9N,0.9865,Positive,0.9865
B09GFWJDY1,0.9864,Positive,0.9864
B08JW1GVS7,0.9863,Positive,0.9863
B09YV463SW,0.9862,Positive,0.9862
B084PJSSQ1,0.9862,Positive,0.9862
B0B21C4BMX,0.9862,Positive,0.9862
B09YV4RG4D,0.9862,Positive,0.9862
B09YV42QHZ,0.9862,Positive,0.9862
B07J9KXQCC,0.9861,Positive,0.9861
B08K9PX15C,0.986,Positive,0.986
B09P858DK8,0.9859,Positive,0.9859
B08MXJYB2V,0.9859,Positive,0.9859
B09WMTJPG7,0.9859,Positive,0.9859
B0B3RHX6B6,0.9859,Positive,0.9859
B092R48XXB,0.9859,Positive,0.9859
B0BNDGL26T,0.9858,Positive,0.9858
B08KS2KQTK,0.9857,Positive,0.9857
B09F5Z694W,0.9857,Positive,0.9857
B0B8CHJLWJ,0.9857,Positive,0.9857
B0BDS8MY8J,0.9856,Positive,0.9856
B01M4GGIVU,0.9856,Positive,0.9856
B01M5967SY,0.9856,Positive,0.9856
B09Q8HMKZX,0.9856,Positive,0.9856
B0789LZTCJ,0.9854,Positive,0.9854
B07CVR2L5K,0.9854,Positive,0.9854
B07CRL2GY6,0.9854,Positive,0.9854
B08HDJ86NZ,0.9853999999999999,Positive,0.9854
B08HDH26JX,0.9854,Positive,0.9854
B0BLV1GNLN,0.9852,Positive,0.9852
B09CMM3VGK,0.9851,Positive,0.9851
B08H5L8V1L,0.985,Positive,0.985
B07PR1CL3S,0.985,Positive,0.985
B0117H7GZ6,0.985,Positive,0.985
B00O2R38C4,0.985,Positive,0.985
B07F366Z51,0.9849,Positive,0.9849
B09SB6SJB4,0.9848,Positive,0.9848
B09J2QCKKM,0.9848,Positive,0.9848
B0B217Z5VK,0.9846,Positive,0.9846
B008FWZGSG,0.9845,Positive,0.9845
B077BTLQ67,0.9844,Positive,0.9844
B081NHWT6Z,0.9843,Positive,0.9843
